{'url': 'http://localhost:5000/', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'main', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/', 'speed': 0.0, 'date': 1625342272, 'content_length': 23, 'request': 'GET http://localhost:5000/ HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/conges', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'main', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/conges', 'speed': 1.207995, 'date': 1625344731, 'content_length': 206392, 'request': 'GET http://localhost:5000/api/conges HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/maladies', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'main', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/maladies', 'speed': 0.056993, 'date': 1625345255, 'content_length': 206392, 'request': 'GET http://localhost:5000/api/maladies HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/maladies', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'main', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/maladies', 'speed': 0.028974, 'date': 1625345500, 'content_length': 220252, 'request': 'GET http://localhost:5000/api/maladies HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/get/maladies', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'pilotage', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/get/maladies', 'speed': 0.449011, 'date': 1625347376, 'content_length': 61, 'request': 'GET http://localhost:5000/api/get/maladies HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/get/maladies', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'pilotage', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/get/maladies', 'speed': 0.004001, 'date': 1625347473, 'content_length': 61, 'request': 'GET http://localhost:5000/api/get/maladies HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/get/maladies', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'pilotage', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/get/maladies', 'speed': 0.003, 'date': 1625347525, 'content_length': 61, 'request': 'GET http://localhost:5000/api/get/maladies HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/get/maladies', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'pilotage', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/get/maladies', 'speed': 0.139876, 'date': 1625347578, 'content_length': 61, 'request': 'GET http://localhost:5000/api/get/maladies HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'main', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/', 'speed': 0.0, 'date': 1625348530, 'content_length': 23, 'request': 'GET http://localhost:5000/ HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'main', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/', 'speed': 0.001018, 'date': 1625348545, 'content_length': 23, 'request': 'GET http://localhost:5000/ HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
{'url': 'http://localhost:5000/api/conges', 'user_agent': <UserAgent 'chrome'/91.0.4472.124>, 'server_name': 'essaie', 'blueprint': 'main', 'view_args': {}, 'status': 200, 'remote_addr': '127.0.0.1', 'xforwardedfor': None, 'authorization': False, 'ip_info': None, 'path': '/api/conges', 'speed': 0.28402, 'date': 1625348826, 'content_length': 1006851, 'request': 'GET http://localhost:5000/api/conges HTTP/1.1', 'url_args': {}, 'username': None, 'track_var': {}}
