idArret;datecreation;datedebut;datefin;nombrejour;datereprise;agent_matricule;statut
3657;13/01/2020;13/01/2020;15/01/2020;3;16/01/2020;3614;Valider
3658;13/01/2020;30/12/2019;01/01/2020;3;02/01/2020;3567;Valider
3659;13/01/2020;13/01/2020;14/01/2020;2;15/01/2020;3708;Valider
3660;13/01/2020;08/01/2020;14/01/2020;7;15/01/2020;3894;Valider
3661;14/01/2020;08/01/2020;10/01/2020;3;11/01/2020;4364;Valider
3662;14/01/2020;08/01/2020;14/01/2020;7;15/01/2020;3153;Valider
3663;14/01/2020;13/01/2020;15/01/2020;3;16/01/2020;4096;Valider
3664;14/01/2020;14/01/2020;14/01/2020;1;15/01/2020;3894;Valider
3665;14/01/2020;13/01/2020;17/01/2020;5;18/01/2020;2813;Valider
3666;14/01/2020;14/01/2020;14/01/2020;1;15/01/2020;3058;Valider
3667;14/01/2020;14/01/2020;15/01/2020;2;16/01/2020;4358;Valider
3668;14/01/2020;14/01/2020;15/01/2020;2;16/01/2020;2751;Valider
3670;14/01/2020;13/01/2020;13/01/2020;1;14/01/2020;3662;Valider
3671;15/01/2020;11/01/2020;12/01/2020;2;13/01/2020;3895;Valider
3672;15/01/2020;06/01/2020;06/01/2020;1;07/01/2020;3319;Valider
3673;15/01/2020;07/01/2020;08/01/2020;2;09/01/2020;3429;Valider
3674;15/01/2020;14/01/2020;21/01/2020;8;22/01/2020;3878;Non valider
3675;15/01/2020;09/01/2020;10/01/2020;2;13/01/2020;3429;Valider
3676;15/01/2020;07/01/2020;09/01/2020;3;10/01/2020;4006;Valider
3677;15/01/2020;15/01/2020;16/01/2020;2;17/01/2020;4413;Valider
3678;15/01/2020;15/01/2020;15/01/2020;1;16/01/2020;3932;Valider
3679;15/01/2020;15/01/2020;15/01/2020;1;16/01/2020;3050;Valider
3680;15/01/2020;15/01/2020;17/01/2020;3;20/01/2020;4619;Valider
3681;15/01/2020;15/01/2020;15/01/2020;1;16/01/2020;3955;Valider
3682;15/01/2020;06/01/2020;08/01/2020;3;09/01/2020;4750;Valider
3683;15/01/2020;09/01/2020;11/01/2020;3;12/01/2020;4750;Valider
3684;15/01/2020;13/01/2020;14/01/2020;2;15/01/2020;4487;Valider
3685;15/01/2020;15/01/2020;16/01/2020;2;17/01/2020;3058;Valider
3686;15/01/2020;15/01/2020;15/01/2020;1;16/01/2020;3940;Valider
3687;15/01/2020;07/01/2020;09/01/2020;3;10/01/2020;3598;Valider
3688;15/01/2020;02/01/2020;04/01/2020;3;05/01/2020;4040;Valider
3689;15/01/2020;23/12/2019;25/12/2019;3;26/12/2019;3692;Valider
3691;15/01/2020;07/01/2020;07/01/2020;1;08/01/2020;3629;Valider
3692;15/01/2020;15/01/2020;17/01/2020;3;18/01/2020;3429;Valider
3693;16/01/2020;16/01/2020;16/01/2020;1;17/01/2020;3073;Valider
3694;16/01/2020;16/01/2020;17/01/2020;2;18/01/2020;4245;Valider
3695;16/01/2020;16/01/2020;16/01/2020;1;17/01/2020;4402;Valider
3696;16/01/2020;16/01/2020;16/01/2020;1;17/01/2020;3183;Valider
3697;16/01/2020;16/01/2020;17/01/2020;2;18/01/2020;3439;Valider
3699;16/01/2020;15/01/2020;15/01/2020;1;16/01/2020;4393;Valider
3700;16/01/2020;16/01/2020;16/01/2020;1;17/01/2020;4684;Valider
3701;16/01/2020;13/01/2020;15/01/2020;3;16/01/2020;3555;Valider
3702;17/01/2020;17/01/2020;17/01/2020;1;18/01/2020;4407;Valider
3703;17/01/2020;17/01/2020;17/01/2020;1;18/01/2020;3555;Valider
3704;17/01/2020;17/01/2020;17/01/2020;1;18/01/2020;2819;Valider
3705;17/01/2020;17/01/2020;17/01/2020;1;18/01/2020;4684;Valider
3706;17/01/2020;17/01/2020;17/01/2020;1;18/01/2020;4002;Valider
3707;17/01/2020;15/01/2020;16/01/2020;2;17/01/2020;4134;Valider
3708;17/01/2020;17/01/2020;21/01/2020;5;22/01/2020;4134;Valider
3709;17/01/2020;17/01/2020;17/01/2020;1;18/01/2020;3528;Valider
3710;17/01/2020;16/01/2020;17/01/2020;2;18/01/2020;4393;Valider
3711;17/01/2020;17/01/2020;17/01/2020;1;18/01/2020;2884;Valider
3712;20/01/2020;20/01/2020;22/01/2020;3;23/01/2020;4791;Valider
3713;20/01/2020;20/01/2020;20/01/2020;1;21/01/2020;4253;Valider
3714;20/01/2020;16/01/2020;17/01/2020;2;20/01/2020;4147;Valider
3715;20/01/2020;20/01/2020;21/01/2020;2;22/01/2020;3950;Valider
3716;20/01/2020;20/01/2020;21/01/2020;2;22/01/2020;4807;Valider
3717;20/01/2020;20/01/2020;22/01/2020;3;23/01/2020;4016;Valider
3718;20/01/2020;20/01/2020;20/01/2020;1;21/01/2020;4259;Valider
3719;20/01/2020;14/01/2020;15/01/2020;2;16/01/2020;2773;Valider
3721;20/01/2020;18/01/2020;18/01/2020;1;20/01/2020;3616;Valider
3722;20/01/2020;19/01/2020;25/01/2020;7;27/01/2020;3869;Valider
3723;21/01/2020;21/01/2020;21/01/2020;1;22/01/2020;3224;Valider
3724;21/01/2020;21/01/2020;21/01/2020;1;22/01/2020;4015;Valider
3725;21/01/2020;21/01/2020;21/01/2020;1;22/01/2020;3988;Valider
3726;28/02/2020;17/01/2020;21/01/2020;5;22/01/2020;4402;Valider
3727;21/01/2020;20/01/2020;22/01/2020;3;23/01/2020;3635;Valider
3728;21/01/2020;21/01/2020;21/01/2020;1;22/01/2020;2891;Valider
3729;21/01/2020;21/01/2020;22/01/2020;2;23/01/2020;3368;Valider
3730;21/01/2020;20/01/2020;21/01/2020;2;22/01/2020;3332;Valider
3731;21/01/2020;21/01/2020;25/01/2020;5;26/01/2020;3126;Valider
3732;21/01/2020;21/01/2020;22/01/2020;2;23/01/2020;3460;Valider
3733;21/01/2020;21/01/2020;22/01/2020;2;23/01/2020;3235;Valider
3734;21/01/2020;03/01/2020;05/01/2020;3;06/01/2020;3793;Valider
3735;21/01/2020;06/01/2020;08/01/2020;3;09/01/2020;3793;Valider
3736;21/01/2020;17/01/2020;18/01/2020;2;20/01/2020;3793;Valider
3737;21/01/2020;20/01/2020;22/01/2020;3;23/01/2020;4211;Valider
3738;21/01/2020;21/01/2020;22/01/2020;2;23/01/2020;4868;Valider
3739;22/01/2020;21/01/2020;22/01/2020;2;23/01/2020;3970;Valider
3740;27/01/2020;20/01/2020;24/01/2020;5;25/01/2020;3818;Valider
3741;22/01/2020;22/01/2020;24/01/2020;3;25/01/2020;4039;Valider
3742;22/01/2020;22/01/2020;23/01/2020;2;24/01/2020;3954;Valider
3743;22/01/2020;20/01/2020;21/01/2020;2;22/01/2020;4040;Valider
3744;23/01/2020;22/01/2020;24/01/2020;3;25/01/2020;4425;Valider
3745;23/01/2020;23/01/2020;25/01/2020;3;27/01/2020;3501;Valider
3746;23/01/2020;23/01/2020;25/01/2020;3;27/01/2020;3406;Valider
3747;23/01/2020;23/01/2020;24/01/2020;2;27/01/2020;4791;Valider
3748;23/01/2020;22/01/2020;24/01/2020;3;25/01/2020;4245;Valider
3750;23/01/2020;23/01/2020;24/01/2020;2;27/01/2020;4001;Valider
3751;23/01/2020;22/01/2020;22/01/2020;1;23/01/2020;4240;Valider
3752;23/01/2020;23/01/2020;23/01/2020;1;24/01/2020;3279;Valider
3753;23/01/2020;21/01/2020;25/01/2020;5;27/01/2020;3284;Valider
3754;23/01/2020;23/01/2020;24/01/2020;2;27/01/2020;3235;Valider
3755;23/01/2020;23/01/2020;23/01/2020;1;24/01/2020;4477;Valider
3756;23/01/2020;23/01/2020;24/01/2020;2;27/01/2020;4301;Valider
3757;23/01/2020;23/01/2020;24/01/2020;2;27/01/2020;4440;Valider
3758;23/01/2020;23/01/2020;25/01/2020;3;27/01/2020;3218;Valider
3759;23/01/2020;23/01/2020;24/01/2020;2;27/01/2020;3970;Valider
3760;23/01/2020;21/01/2020;23/01/2020;3;24/01/2020;4521;Valider
3761;24/01/2020;02/01/2020;02/01/2020;1;03/01/2020;3723;Valider
3762;24/01/2020;24/01/2020;24/01/2020;1;27/01/2020;4794;Valider
3763;24/01/2020;24/01/2020;24/01/2020;1;27/01/2020;4837;Valider
3764;24/01/2020;24/01/2020;24/01/2020;1;27/01/2020;2682;Valider
3765;24/01/2020;24/01/2020;25/01/2020;2;27/01/2020;4835;Valider
3766;27/01/2020;27/01/2020;28/01/2020;2;29/01/2020;3640;Valider
3767;27/01/2020;27/01/2020;27/01/2020;1;28/01/2020;4367;Valider
3768;27/01/2020;27/01/2020;27/01/2020;1;28/01/2020;4299;Valider
3769;27/01/2020;27/01/2020;29/01/2020;3;30/01/2020;4104;Valider
3770;27/01/2020;27/01/2020;27/01/2020;1;28/01/2020;4815;Valider
3771;27/01/2020;24/01/2020;24/01/2020;1;25/01/2020;4113;Valider
3772;27/01/2020;27/01/2020;29/01/2020;3;30/01/2020;4001;Valider
3773;27/01/2020;27/01/2020;29/01/2020;3;30/01/2020;4419;Valider
3774;27/01/2020;27/01/2020;29/01/2020;3;30/01/2020;4721;Valider
3775;27/01/2020;27/01/2020;29/01/2020;3;30/01/2020;3794;Valider
3776;27/01/2020;21/01/2020;22/01/2020;2;23/01/2020;4127;Valider
3777;27/01/2020;23/01/2020;24/01/2020;2;25/01/2020;4127;Valider
3778;28/01/2020;28/01/2020;30/01/2020;3;31/01/2020;3183;Valider
3779;28/01/2020;28/01/2020;28/01/2020;1;29/01/2020;4287;Valider
3780;28/01/2020;28/01/2020;28/01/2020;1;29/01/2020;3127;Valider
3781;28/01/2020;28/01/2020;28/01/2020;1;29/01/2020;3863;Valider
3782;28/01/2020;28/01/2020;30/01/2020;3;31/01/2020;3635;Valider
3783;28/01/2020;28/01/2020;28/01/2020;1;29/01/2020;3777;Valider
3784;28/01/2020;28/01/2020;28/01/2020;1;29/01/2020;3507;Valider
3785;29/01/2020;29/01/2020;29/01/2020;1;30/01/2020;3531;Valider
3786;29/01/2020;29/01/2020;30/01/2020;2;31/01/2020;1941;Valider
3787;29/01/2020;29/01/2020;30/01/2020;2;31/01/2020;3078;Valider
3788;29/01/2020;29/01/2020;30/01/2020;2;31/01/2020;4683;Valider
3789;29/01/2020;28/01/2020;28/01/2020;1;29/01/2020;4338;Valider
3790;29/01/2020;29/01/2020;30/01/2020;2;31/01/2020;4607;Valider
3791;29/01/2020;28/01/2020;31/01/2020;4;01/02/2020;4113;Valider
3792;04/02/2020;28/01/2020;03/02/2020;7;04/02/2020;4440;Valider
3793;30/01/2020;24/01/2020;24/01/2020;1;25/01/2020;3612;Valider
3794;30/01/2020;28/01/2020;30/01/2020;3;31/01/2020;3537;Valider
3795;30/01/2020;29/01/2020;31/01/2020;3;03/02/2020;3342;Valider
3796;30/01/2020;30/01/2020;31/01/2020;2;03/02/2020;4493;Valider
3797;30/01/2020;30/01/2020;31/01/2020;2;03/02/2020;4247;Valider
3798;30/01/2020;29/01/2020;31/01/2020;3;03/02/2020;3869;Valider
3799;30/01/2020;28/01/2020;29/01/2020;2;30/01/2020;4473;Valider
3800;30/01/2020;30/01/2020;30/01/2020;1;31/01/2020;3127;Valider
3801;30/01/2020;30/01/2020;31/01/2020;2;03/02/2020;2672;Valider
3802;30/01/2020;30/01/2020;01/02/2020;3;03/02/2020;4401;Valider
3803;30/01/2020;28/01/2020;29/01/2020;2;30/01/2020;3852;Valider
3804;30/01/2020;30/01/2020;31/01/2020;2;03/02/2020;4122;Valider
3805;30/01/2020;27/01/2020;27/01/2020;1;28/01/2020;3954;Valider
3806;30/01/2020;28/01/2020;30/01/2020;3;31/01/2020;3954;Valider
3807;30/01/2020;30/01/2020;31/01/2020;2;03/02/2020;3794;Valider
3808;30/01/2020;30/01/2020;01/02/2020;3;03/02/2020;4210;Valider
3809;31/01/2020;31/01/2020;31/01/2020;1;03/02/2020;4505;Valider
3810;31/01/2020;31/01/2020;31/01/2020;1;03/02/2020;3518;Valider
3811;31/01/2020;31/01/2020;31/01/2020;1;03/02/2020;4781;Valider
